prompt,completion
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Garmin Black fenix 5S Sapphire Watch with Black Band'. Entity 2: 'Samsung 970 EVO Plus 1TB NVMe M.2 Internal SSD'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Garmin Black fenix 5S Sapphire Watch with Black Band'. Entity 2: 'Garmin Forerunner 945 GPS Running Watch with Black Band'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Garmin Black fenix 5S Sapphire Watch with Black Band'. Entity 2: 'Seagate FireCuda 520 1TB PCIe Gen4 x4 NVMe 1.3 Internal SSD'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Garmin Fenix 5S Plus Black Sapphire with Black Band'. Entity 2: 'Garmin Black fenix 5S Sapphire Watch with Black Band'.,Yes
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Garmin Fenix 5S Black Sapphire with Black Band'. Entity 2: 'Garmin Forerunner 945 Black with Black Band'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Garmin Fenix 5S Black Sapphire with Black Band'. Entity 2: 'Garmin Vivoactive 4 Black with Black Band'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Garmin Fenix 5S Black Sapphire with Black Band'. Entity 2: 'Garmin Instinct Solar Black with Black Band'.,No
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Maxxis Maxxis, High Roller II, Tire, 27.5''x2.50, Folding, Tubeless Ready, 3C Maxx Terra, EXO, Wide Trail, 60TPI, Black'. Entity 2: 'Maxxis High Roller II, 27.5''x2.50, Foldable, Tubeless, 3C Maxx Terra, EXO, Wide Trail, 60TPI, Black'.",Yes
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Maxxis Maxxis, High Roller II, Tire, 27.5''x2.50, Folding, Tubeless Ready, 3C Maxx Terra, EXO, Wide Trail, 60TPI, Black'. Entity 2: 'Maxxis Minion DHF, Tire, 27.5''x2.50, Folding, Tubeless Ready, 3C Maxx Terra, EXO, Wide Trail, 60TPI, Black'.",No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'HyperX Fury DDR3 1600MHz 8GB'. Entity 2: 'Kingston HyperX Fury DDR3 1600MHz 8GB (2x4GB)'.,Yes
