prompt,completion
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'HDD 35 4TB Seagate IronWolf Pro NAS ST4000NE001'. Entity 2: 'HD 3,5 4TB 7200RPM IRONWOLF PRO 128 MB SATA3 SEAGATE'.","Yes.  
attribute=brand|||importance=0.05|||values=Seagate###Seagate|||similarity=1.00  
attribute=model|||importance=0.95|||values=IronWolf Pro|||IronWolf Pro|||similarity=1.00  
attribute=storage capacity|||importance=0.9|||values=4TB###4TB|||similarity=1.00  
attribute=size|||importance=0.1|||values=3.5|||3.5|||similarity=1.00  
attribute=RPM|||importance=0.05|||values=missing###7200RPM|||similarity=0.00  
attribute=caching|||importance=0.05|||values=missing###128 MB|||similarity=0.00  
attribute=interface|||importance=0.05|||values=SATA3###SATA3|||similarity=1.00  "
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Buy Quality Replica Omega Seamaster Planet Ocean 600M Steel Chronometer Chronograph Watch 215.30.46.51.01.001'. Entity 2: 'GIGABYTE Radeon RX 5500 XT OC - 4GB GDDR6 RAM - Grafikkort'.,"No.  
attribute=brand|||importance=0.05|||values=Omega###GIGABYTE|||similarity=0.00  
attribute=model|||importance=0.95|||values=Seamaster Planet Ocean 600M###Radeon RX 5500 XT OC|||similarity=0.00  
attribute=type|||importance=0.90|||values=Watch###Graphics Card|||similarity=0.00  
attribute=material|||importance=0.10|||values=Steel|||missing|||similarity=0.00  
attribute=RAM|||importance=0.05|||values=missing###4GB GDDR6|||similarity=0.00  "
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Ubiquiti UVC-G3-FLEX-3 UniFi Protect G3 FLEX Camera 3-Pack'. Entity 2: 'AAA Replica Omega Seamaster Planet Ocean 600M Chronograph Stainless Steel Blue Watch 215.30.46.51.03.001'.,"No. 
attribute=brand|||importance=0.05|||values=Ubiquiti###AAA Replica|||similarity=0.00
attribute=model|||importance=0.95|||values=UVC-G3-FLEX-3###Seamaster Planet Ocean 600M Chronograph|||similarity=0.00
attribute=product type|||importance=0.9|||values=Camera 3-Pack###Watch|||similarity=0.00
attribute=material|||importance=0.1|||values=missing###Stainless Steel|||similarity=0.00
attribute=color|||importance=0.05|||values=missing###Blue|||similarity=0.00"
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Brother HL-L6300DW Business Laser Printer for Mid-Size Workgroups -HL-L6300DW'. Entity 2: 'Epson T6923 Ultrachrome XD rautt Ink 110ml'.,"No.  
attribute=brand|||importance=0.05|||values=Brother###Epson|||similarity=0.00  
attribute=model|||importance=0.95|||values=HL-L6300DW###T6923|||similarity=0.00  
attribute=product type|||importance=0.9|||values=Laser Printer###Ink|||similarity=0.00  
attribute=capacity|||importance=0.1|||values=missing###110ml|||similarity=0.00  
attribute=target audience|||importance=0.05|||values=Mid-Size Workgroups###missing|||similarity=0.00  "
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'KINGSTON 64GB USB 3.0 DataTraveler SE9 G2 (Kovový) DTSE9G2/64GB'. Entity 2: 'Buy Quality Replica Tag Heuer Monaco Steve McQueen Chronograph Watch CAW211P.FC6356'.,"No.  
attribute=brand|||importance=0.05|||values=KINGSTON###Tag Heuer|||similarity=0.00  
attribute=model|||importance=0.95|||values=DataTraveler SE9 G2###Monaco Steve McQueen Chronograph|||similarity=0.00  
attribute=storage capacity|||importance=0.9|||values=64GB###missing|||similarity=0.00  
attribute=color|||importance=0.1|||values=Kovový###missing|||similarity=0.00  
attribute=product type|||importance=0.95|||values=USB Flash Drive###Watch|||similarity=0.00  "
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Swiss Military Hanowa FLAGSHIP 06-5161.2.04.007 Herrenuhr'. Entity 2: 'Swiss Military Hanowa Flagship 06-5161.2.04.003'.,"No.  
attribute=brand|||importance=0.05|||values=Swiss Military Hanowa###Swiss Military Hanowa|||similarity=1.00  
attribute=model|||importance=-0.95|||values=FLAGSHIP 06-5161.2.04.007###Flagship 06-5161.2.04.003|||similarity=0.20  
attribute=type|||importance=0.00|||values=Herrenuhr###missing|||similarity=0.00  
attribute=product code|||importance=0.90|||values=06-5161.2.04.007###06-5161.2.04.003|||similarity=0.00  "
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Sony SEL24240 FE 24-240mm f/3.5-6.3 OSS Zoom Lens for Mirrorless Cameras'. Entity 2: 'WD My Passport - 1 TB'.,"No.  
attribute=brand|||importance=0.05|||values=Sony###WD|||similarity=0.00  
attribute=model|||importance=0.95|||values=SEL24240 FE 24-240mm f/3.5-6.3 OSS Zoom Lens###My Passport|||similarity=0.00  
attribute=type|||importance=0.9|||values=Zoom Lens for Mirrorless Cameras###External Hard Drive|||similarity=0.00  
attribute=storage capacity|||importance=0.85|||values=missing###1 TB|||similarity=0.00  
attribute=compatibility|||importance=0.1|||values=Mirrorless Cameras###missing|||similarity=0.00  "
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Catalyst 2960-X 24 GigE PoE 370W, 2 x 10G SFP+, LAN Base'. Entity 2: '8GB Corsair ValueSelect DDR4-2133 DIMM CL15 Single'.","No.  
attribute=brand|||importance=0.05|||values=Catalyst###Corsair|||similarity=0.00  
attribute=model|||importance=0.95|||values=2960-X 24 GigE PoE 370W, 2 x 10G SFP+, LAN Base###ValueSelect DDR4-2133 DIMM CL15 Single|||similarity=0.00  
attribute=type|||importance=0.9|||values=Switch|||Corsair ValueSelect DDR4-2133 DIMM CL15 Single|||similarity=0.00  
attribute=memory capacity|||importance=0.1|||values=missing###8GB|||similarity=0.00  
attribute=power|||importance=0.05|||values=370W###missing|||similarity=0.00  
attribute=interface|||importance=0.1|||values=GigE, 10G SFP+###DDR4|||similarity=0.00  "
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Corsair ML140 PRO RGB LED 140MM PWM Premium Magnetic Levitation Fan - Single Pack'. Entity 2: 'Corsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation Fan'.","No.  
attribute=brand|||importance=0.05|||values=Corsair###Corsair|||similarity=1.00  
attribute=model|||importance=-0.95|||values=ML140 PRO RGB LED###ML140 Pro LED|||similarity=0.50  
attribute=size|||importance=0.10|||values=140MM###140mm|||similarity=1.00  
attribute=fan type|||importance=0.15|||values=PWM Premium Magnetic Levitation Fan###Premium Magnetic Levitation Fan|||similarity=1.00  
attribute=color|||importance=-0.90|||values=RGB LED###Red|||similarity=0.00  
attribute=pack size|||importance=0.00|||values=Single Pack###missing|||similarity=0.00  "
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Samsung Portable SSD T7 Touch - Black - 2TB'. Entity 2: 'Samsung T7 Touch Portable SSD Drive [1TB](Silver)'.,"No.  
attribute=brand|||importance=0.05|||values=Samsung###Samsung|||similarity=1.00  
attribute=model|||importance=-0.95|||values=T7 Touch###T7 Touch|||similarity=1.00  
attribute=storage capacity|||importance=-0.9|||values=2TB###1TB|||similarity=0.25  
attribute=color|||importance=0.00|||values=Black###Silver|||similarity=0.00  "
