prompt,completion
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'HDD 35 4TB Seagate IronWolf Pro NAS ST4000NE001'. Entity 2: 'HD 3,5 4TB 7200RPM IRONWOLF PRO 128 MB SATA3 SEAGATE'.",Yes
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Buy Quality Replica Omega Seamaster Planet Ocean 600M Steel Chronometer Chronograph Watch 215.30.46.51.01.001'. Entity 2: 'GIGABYTE Radeon RX 5500 XT OC - 4GB GDDR6 RAM - Grafikkort'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Ubiquiti UVC-G3-FLEX-3 UniFi Protect G3 FLEX Camera 3-Pack'. Entity 2: 'AAA Replica Omega Seamaster Planet Ocean 600M Chronograph Stainless Steel Blue Watch 215.30.46.51.03.001'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Brother HL-L6300DW Business Laser Printer for Mid-Size Workgroups -HL-L6300DW'. Entity 2: 'Epson T6923 Ultrachrome XD rautt Ink 110ml'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'KINGSTON 64GB USB 3.0 DataTraveler SE9 G2 (Kovový) DTSE9G2/64GB'. Entity 2: 'Buy Quality Replica Tag Heuer Monaco Steve McQueen Chronograph Watch CAW211P.FC6356'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Sony SEL24240 FE 24-240mm f/3.5-6.3 OSS Zoom Lens for Mirrorless Cameras'. Entity 2: 'WD My Passport - 1 TB'.,No
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Catalyst 2960-X 24 GigE PoE 370W, 2 x 10G SFP+, LAN Base'. Entity 2: '8GB Corsair ValueSelect DDR4-2133 DIMM CL15 Single'.",No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'HyperX FURY - DDR3 - 8 GB: 2 x 4 GB - DIMM 240-pin - unbuffered'. Entity 2: 'Brother HL-L6200DW Business Laser Printer'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Traveler's Notebook Starter Kit (Passport Size) - Blue'. Entity 2: 'Manfrotto XPRO Fluid Tripod Head with Fluidity Selector'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'DJI Mavic Pro automobilinis įkroviklis / Car Charger'. Entity 2: 'DJI Mavic Air Car Charger'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Brother HL-L8360CDW Laser Printer'. Entity 2: 'Canon PGI-29 Ink Tank Grey 4871B001AA CO68194'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Hydro Flask 21 Oz- Black'. Entity 2: 'Gigabyte GeForce GTX 1650 Super OC'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'WD BLUE 1TB SN550 NVME M.2 2280 SSD (WDS100T2B0C)'. Entity 2: 'Samsung 1TB SSD 970 EVO NVMe M.2'.,No
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Western Digital My PassPort, 4TB, BLACK3 Years - WDBYFT0040BBK-WESN'. Entity 2: 'Samsung Portable SSD T7 Touch 1TB - Zilver'.",No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Crucial 8GB (1x8GB) DDR3 1600MHz SODIMM'. Entity 2: 'Crucial 4GB (1x4GB) 2666MHz DDR4 Memory'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Omega Seamaster Planet Ocean Automatic Chronograph Two-Tone Rubber Watch 215.32.46.51.01.001'. Entity 2: 'Sigma 105mm F1.4 Art DG HSM EOS Mount Lens'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Original Epson T1571 Photo Black Ink Cartridge'. Entity 2: 'Epson Ink Cartridge - Matte Black 700ml'.,No
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Samsung 50\"" 4K UHD HDR QLED Smart TV (QN50Q60TAFXZC)'. Entity 2: 'BenQ SW271 Pro 27in IPS LCD Monitor 4K UHD'.",No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Corsair 110R Tempered Glass Mid-Tower ATX Case'. Entity 2: 'Shimano Dura-Ace CS-R9100 11-28T 11sp Cassette'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Samsung 970 EVO Plus 2TB SSD'. Entity 2: 'Samsung 970 EVO Plus 250GB SSD'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Mavic 2 Part11 Car Charger'. Entity 2: 'DJI Mavic 2 Car Charger'.,Yes
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Johnnie Walker - Blue Label 70cl'. Entity 2: 'Johnnie Walker Blue Label 0,7 ltr.'.",Yes
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Jabra EVOLVE 80 MS Stereo (7899-823-109)'. Entity 2: 'Jabra Evolve 80 UC stereo SKype for Business'.,Yes
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Ubiquiti UniFi Video Camera G4 Pro (UVC-G4-PRO)'. Entity 2: 'Ubiquiti UniFi Protect G4-PRO Camera'.,Yes
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'ASUS ROG STRIX B550-E GAMING Presa AM4 ATX AMD B550'. Entity 2: 'HPE 300GB SERVER SMART MEMORY 6G 15K SAS 2.5 652611-B21'.,No
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Elixir Phosphor Acoustic Strings - Extra Light'. Entity 2: 'PG-730 7-Speed Cassette'.,No
