prompt,completion
"Do the two product descriptions refer to the same real-world product? Entity 1: 'nan HDD 35 4TB Seagate IronWolf Pro NAS ST4000NE001 nan 154.10 nan'. Entity 2: 'nan HD 3,5 4TB 7200RPM IRONWOLF PRO 128 MB SATA3 SEAGATE nan 153.99 EUR'.",Yes
"Do the two product descriptions refer to the same real-world product? Entity 1: 'nan Buy Quality Replica Omega Seamaster Planet Ocean 600M Steel Chronometer Chronograph Watch 215.30.46.51.01.001 Quality AAA Replica Omega Seamaster Planet Ocean 600M Steel Chronometer Chronograph Watch 215.30.46.51.01.001 from online store for sale. nan nan'. Entity 2: 'nan GIGABYTE Radeon RX 5500 XT OC - 4GB GDDR6 RAM - Grafikkort Grafikkort, AMD Radeon RX 5500 XT Overclocked (Core clock 1647 MHz / Boost clock 1845 MHz), 1408 Stream kjerner, 4 GB GDDR6 (Memory clock 14 GHz) - 128-bit, PCI Express 4.0 x16, 3 x DisplayPort 1.4 / HDMI 2.0b tilkoblinger, støtter AMD FreeSync, 1 x 8-pins strømkontakt, kort lengde: 225mm - Gigabyte WindForce 2X low noise cooler - GV-R55XTOC-4GD 2322.00 NOK'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'nan Ubiquiti UVC-G3-FLEX-3 UniFi Protect G3 FLEX Camera 3-Pack BackDetailsStylish Full HD (1080p) mini turret camera with infrared LEDs and versatile mounting options for indoor and outdoor installationsUniFi Protect G3 Flex camera is a Day/Night security camera that features crisp 1080p video with IR capability. The flexibility of mount allow to put the camera anywhere, like on-table, on the indoor wall, on the outdoor wall, on pole, even put them in or on the ceiling.SpecificationsVideo Compression: H.264Resolution: 1080p Full HD (1920x1080)Maximum Frame Rate: 25 FPSImage Settings: Brightness, Contrast, Sharpness, Saturation, Noise Reduction, 50/60 HzViewing Angle Lens Correction Off: 87.4° (H), 47° (V), 104° (D)Viewing Angle Lens Correction On: 80° $‎234.95 USD'. Entity 2: 'nan AAA Replica Omega Seamaster Planet Ocean 600M Chronograph Stainless Steel Blue Watch 215.30.46.51.03.001 AAA Replica Omega Seamaster Planet Ocean 600M Chronograph Stainless Steel Blue Watch 215.30.46.51.03.001 for sale from China with good prices. nan nan'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'Brother Brother HL-L6300DW Business Laser Printer for Mid-Size Workgroups -HL-L6300DW The Brother HL-L6300DW is the ultimate monochrome laser printer for mid-sized workgroups with higher print volumes. This business-durable printer offers great value due to the included high-yield toner cartridge and offers even lower cost output due to the super high-yield replacement toner cartridge. Plus, maximize your productivity with fast printing up to 48ppm, automatic two-sided printing, as well as a 520-sheet capacity paper tray that holds more than a ream of paper. For even fewer refills, expand the paper capacity to 1,610 sheets with optional trays. Advanced security features provide network user authentication, and a color Touchscreen display enables direct 479.98 USD'. Entity 2: 'nan Epson T6923 Ultrachrome XD rautt Ink 110ml Nánari lýsing frá framleiðanda:Barcode: 010343886100Compatible Brand: EpsonCompatible Printer(s): SureColor SC-T3000/SC-T5000/SC-T7000 Large Format Inkjet PrintersForm Factor: Ink CartridgeInk Colour(s): MagentaInk Volume: 110.0Model Name: T692300New/Remanufactured: NewOEM Equivalent: T692300Original/Compatible: Original ManufacturerProduct Type: Ink CartridgeSingle or Multi Colour Cartridge: SingleTotal: 1For perfect results every time, Epson genuine ink gives a durable and vibrant outcome for all your documents and photosWhether you are creating colourful school projects, printing web pages, or producing your own glossy photo album, Epson offers you the best results from your Epson Printer 16371 ISK'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'KINGSTON KINGSTON 64GB USB 3.0 DataTraveler SE9 G2 (Kovový) DTSE9G2/64GB Lightweight, stylish USB 3.0 drive. Store, transfer and share up to 128GB of your favourite photos, videos, music and more with Kingston’s DataTraveler® SE9 G2 USB Flash drive. Its stylish, capless design means there’s no cap to lose, and its ultrasmall form factor fits any lifestyle. 369.00 czk'. Entity 2: 'nan Buy Quality Replica Tag Heuer Monaco Steve McQueen Chronograph Watch CAW211P.FC6356 Quality AAA Replica Tag Heuer Monaco Steve McQueen Chronograph Watch CAW211P.FC6356 from online store for sale. nan nan'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'nan Swiss Military Hanowa FLAGSHIP 06-5161.2.04.007 Herrenuhr nan 378,00 лв BGN'. Entity 2: 'SWISS MILITARY HANOWA Swiss Military Hanowa Flagship 06-5161.2.04.003 Swiss Military Hanowa Flagship 06-5161.2.04.003 6145.0000 UAH'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'Sony Sony SEL24240 FE 24-240mm f/3.5-6.3 OSS Zoom Lens for Mirrorless Cameras A full-frame24mm to 240mm zoom range allows this one lens to cover an extensive variety of shooting situations with 10x effective zoom range, making it ideal for landscape, snapshots, portraits and travel where reducing luggage is a priority. The ability to switch from wide angle to telephoto without having to change lenses also means that more of those fleeting moments that make great shots will be captured. The advanced optics include 5 a spherical elements and 1 ED glass element, achieving hi 998.00 USD'. Entity 2: 'WD WD My Passport - 1 TB My Passport 1TB - USB 3.0, 256-bit AES 54.98 EUR'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'nan Catalyst 2960-X 24 GigE PoE 370W, 2 x 10G SFP+, LAN Base Cisco® Catalyst® 2960-X and 2960-XR Series Switches are fixed-configuration, stackable Gigabit Ethernet switches that provide enterprise-class access for campus and branch applications (Figure 1). Designed for operational simplicity to lower total cost of ownership, they enable scalable, secure and energy-efficient business operations with intelligent services and a range of advanced Cisco IOS® Software features. 33099.85 HKD'. Entity 2: 'Corsair 8GB Corsair ValueSelect DDR4-2133 DIMM CL15 Single nan 33.99 nan'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'Corsair Corsair ML140 PRO RGB LED 140MM PWM Premium Magnetic Levitation Fan - Single Pack Product InformationQUIET COOLING IN ANY COLORThe CORSAIR ML140 PRO RGB PWM fan combines unrivaled performance and low noise operation with vibrant RGB lighting controlled in CORSAIR LINK software.FRICTION MEETS REALITYBy utilizing ultra-low friction magnetic levitation bearing technology, ML140 PRO RGB can deliver more airflow and higher static pressure at lower noise levels than traditional bearing fans, backed by a long-life five-year warranty.PUT YOUR BUILD IN THE SPOTLIGHTFour hub-mounted RGB LEDs output a vivid blast of light and color, making it easy to match your system's style.EXPAND OR CREATEAvailable as a single fan, control lighting effects in CORSAIR LINK and add 32.98 GBP'. Entity 2: 'nan Corsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation Fan Corsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation Fan (CO-9050047-WW)If NASA Designed a Computer Case Fan – This Would Be It Corsair ML Series of fans magnetic levitation technology and custom engineered rotors provide unrivaled performance and low noise.Thanks to its innovative design, the ML Series fans delivers both high static pressure and high air flow for a superior fan experience.Warranty Five years Fan Size 140mm x 25mm Flow Type Static Pressure LED Color White PWM Control Yes Airflow 20 - 97 CFM Static Pressure 0.2 - 3.0 mmH20 Sound Level 16 - 37 dBA Speed 400 - 2000 77.96 AUD'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'nan Samsung Portable SSD T7 Touch - Black - 2TB Solid state drive, krypteret, 2 TB, ekstern (bærbar), USB 3.2 Gen 2 (USB-C stikforbindelse), 256-bit AES, sort 3076.00 DKK'. Entity 2: 'nan Samsung T7 Touch Portable SSD Drive [1TB](Silver) Advanced PerformanceUp to 1050MB/s read speed, 1000MB/s Write speed supporting USB3.1 Gen2 (10Gbps)Emotional DesignEmotional LED to show product's status intuitively and a slim and light weighted metal bodySecurityOptional data protection with software, password and fingerprint recognition. AES 256-bit hardware encryptionKey FeaturesUp to 1,000 MB/s Transfer SpeedFingerprint Unlock & encryption software (Optional)Multi-Device compatabilityFull metal body 319 AUD'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'nan HyperX FURY - DDR3 - 8 GB: 2 x 4 GB - DIMM 240-pin - unbuffered HyperX FURY DDR3 memory delivers hassle-free, Plug-and-Play functionality that gets you in the game faster and instant performance that helps you win it. Its asymmetric, aggressive design lets you stand out from the crowd of \""squared\"" designs and features quality aluminum and a diamond-cut finish. 115.99 CAD'. Entity 2: 'Brother Brother HL-L6200DW Business Laser Printer HL-L6200DW Business Laser Printer. The Brother HL-L6200DW monochrome laser printer is a great choice for busy offices and workgroups with higher print volumes that need a reliable printer with a low cost per page. Maximize your productivity with fast printing up to 48ppm and automatic two-sided printing, and help lower your operating costs with a super high-yield replacement toner cartridge. Reduce paper refills with a 520-sheet capacity paper tray that holds more than a ream of paper or for even greater paper capacity add optional trays for a total capacity of 1,610 sheets. Advanced security features help protect sensitive documents 229.99 USD'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'nan Traveler's Notebook Starter Kit (Passport Size) - Blue Travel with Traveler's Notebook, you can jot down your precious memories along your journey. Easy to hold in your hand, it's the perfect size to bring along for you to write thoughts and observations from your trips. You can carry maps, tickets, and other travel essentials in the notebook.Package content Leather Cover / H134 × W98 × D10mm MADE IN THAILAND Notebook / H124 × W89 × D4mm, Blank, 64 pages, MD Paper (stitch bound) MADE IN JAPAN Cotton Bag / H165 × W120mm Spare Rubber Band / Mustard 49.90 SGD'. Entity 2: 'nan Manfrotto XPRO Fluid Tripod Head with Fluidity Selector Adjustable fluidity on tilt movement for smoother shooting Professional fluid drag for pan and tilt movements Versatile flat base for multiple tripod connections Quick and easy to set up and switch from photo to video Durable, lightweight aluminium construction 138.00 EUR'.",No
Do the two product descriptions refer to the same real-world product? Entity 1: 'DJI DJI Mavic Pro automobilinis įkroviklis / Car Charger DJI Mavic Pro automobilinis įkroviklis / Car Charger 55.00 EUR'. Entity 2: 'DJI DJI Mavic Air Car Charger nan 649 SEK'.,No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'nan APC RBC140 Replacement Battery Cartridge APC Replacement Battery Cartridge #140Genuine APC RBC are tested and certified for compatibility to restore UPS performance to the original specifications.Includes : All required connectors , Battery recycling guide , Installation Guide , Reusable packagingReplacement Battery CartridgesFeatures & BenefitsConveniencePrepaid postage to a nearby recycling partner (availability varies by country) - Insures that almost 100% of the old battery is recycled, protecting the environment.Re-usable packaging with clear instructions on how to properly dispose of spent batteries - Convenient, easy and green.Fully assembled for easy hot-swap installation - APC RBCs are safe, reliable and contain a minimum number of connections saving valuable 531.10 GBP'. Entity 2: 'nan APC (APCRBC110) REPLACEMENT BATTERY CATRIDGE #110 Genuine APC RBC(TM) are tested and certified for compatibility to restore UPS performance to the original specifications. 176.4 AUD'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'nan 3M - Lightweight 300 Privacy Filter PF322WSkjermfilter mot innsyn, m/ramme 20\""-23\""W (30,7 x 48,5) 3M Lightweight 300 Privacy Filter PF322WSkjermfilter mot innsyn, m/ramme 20\""-23\""W (30,7 x 48,5) (98-0440-4913-2) - Type: Skjermbeskyttelse 3266.25 NOK'. Entity 2: 'nan 3M - Privacy filter framed lightweight 18,1\""\""-20\""\"" widescreen 3M Privacy filter framed lightweight 18, 1\""\""-20\""\"" widescreen (7000059517) - Typ: Skärmskydd 1686.00 SEK'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'Brother Brother HL-L8360CDW Laser Printer Need Help with your purchase? If you have any questions regarding any of our products or services, please feel free to contact us. 1300 765 575 03 9703 255 support@cartridgesdirect.com.au Find out more Delivery and Shipping Information Terms and Conditions 588.76 AUD'. Entity 2: 'Canon Canon PGI-29 Ink Tank Grey 4871B001AA CO68194 nan 23.81 GBP'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'nan Hydro Flask 21 Oz- Black Hydroflask 21oz bottle is the perfect companion for the beach, trail or everyday use.Versatile, middle-of-the-road sizeTempShield™ insulation eliminates condensation and keeps beverages cold up to 24 hours and hot up to 12 hoursDurable 18/8 Pro-Grade Stainless Steel constructionBPA-Free and Phthalate-FreeCompatible with standard mouth insulated sport cap 5.0E1 AUD'. Entity 2: 'Gigabyte Gigabyte GeForce GTX 1650 Super OC The Gigabyte GeForce GTX 1650 Super OC has 4 GB Vram. Its boost clock is set to 1740 MHz, its memory clock is at 12000 MHz. 159.99 USD'.",No
"Do the two product descriptions refer to the same real-world product? Entity 1: 'nan HyperX 8GB (2x4GB) 1600MHz CL10 Fury Blue nan 289 PLN'. Entity 2: 'nan HyperX FURY Blue 4GB (1x4GB) 1600MHz DDR3 Memory HyperX brand featuring Intel XMP profile support and ideal huge 4GB DDR3 module, powered by CL10 latency timing, powered by 1.5V and fluid 1600MHz 2.134E1 GBP'.",No
