prompt,completion,id
Do the two product descriptions refer to the same real-world product? Entity 1: 'Daniel Wellington Mens Classic Sheffield 40mm Rose Gold Black DW00100007'. Entity 2: 'Daniel Wellington Unisex Classic Sheffield 36mm Rose Gold Black DW00100036'.,No,41987114#35410623_original
"Do the two product descriptions refer to the same real-world product? Entity 1: 'RAM Long Length Double Socket Arm for 1.5\"" Balls'. Entity 2: 'Maxxis Maxxis, High Roller II, Tire, 27.5''x2.30, Folding, Tubeless Ready, Dual, EXO, 60TPI, Black'.",No,39417365#79821099_original
"Do the two product descriptions refer to the same real-world product? Entity 1: '3M - Privacy Filter 23.0\""\"" Framed'. Entity 2: 'Fujinon Lens XF 23mm F1.4 R'.",No,5938532#27021728_original
"Do the two product descriptions refer to the same real-world product? Entity 1: 'RAM Mount Double Socket Clamp Arm - SHORT - for 1.5\"" C Size Balls'. Entity 2: 'KINGSTON ValueRAM RAM Module - 4 GB (1 x 4 GB) - DDR4 SDRAM'.",No,77338417#85033463_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Samsung 970 Evo 500GB NVME M.2 High Speed Solid State Drive with V-Nand'. Entity 2: 'Cappello New Era Clean Trucker Chicago Bulls Cap'.,No,42341716#49092761_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Ubiquiti UniFi Dual-Band WiFi PoE Access Point UAP-AC-HD - 5 Pack'. Entity 2: 'UniFi AP ac HD ROW 5Pk'.,Yes,18960736#24268406_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Epson _ T6031 Black Ink 220ml'. Entity 2: 'Epson Stylus Pro 9880 Black Photo Ink'.,Yes,20060104#29467728_left_augmented_right_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Fujifilm Instax Square Film (10 Pack)'. Entity 2: 'instax square film 10pk black'.,No,47146148#17813216_original
"Do the two product descriptions refer to the same real-world product? Entity 1: 'Corsair DDR4 Vengeance LPX 16GB/2133(2*8GB) CL13-15-15-28 1,20V XMP2.0'. Entity 2: 'Cooler master ventola master liquid ML120R rgb lga 775>2066 amd AM2>FM1'.",No,78223883#47818268_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Atomos Coiled Full HDMI to Full HDMI Cable (30cm) - ATOMCAB010'. Entity 2: 'Epson Cartuccia 79xl Magenta Originale per WF-5620 WF-5690 WF-4630 C13T79034010'.,No,56736608#2314380_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Kingston Technology DataTraveler microDuo 3C 128GB USB flash drive USB Type-A / USB Type-C 3.0 (3.1 Gen 1) Silver'. Entity 2: 'HP 300GB 6G SAS 15K rpm SFF (2.5-inch) SC Enterprise'.,No,46100236#35583855_original
"Do the two product descriptions refer to the same real-world product? Entity 1: 'Maxxis High Roller II _ - 27. 5 _ 2. 4, Tubeless, Folding, Black, 3C Maxx _, EXO'. Entity 2: 'Maxxis High Roller II MaxxTerra Tire (WT) (3C/EXO/TR) (27.5 x 2.40) (Folding)'.",Yes,25593960#41191422_left_augmented_right_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'EJ16 - Acoustic Phosphor Bronze 12-53'. Entity 2: 'D'.,Yes,24742825#97547150_left_original_right_augmented
Do the two product descriptions refer to the same real-world product? Entity 1: 'Sandisk Cruzer Force 16GB USB 2. 0 Flash Drive - 016G - B35'. Entity 2: 'Pen Drive SanDisk 16GB Cruzer Force USB 2.0'.,Yes,2491460#75249284_left_augmented_right_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Crucial 1x 8GB DDR3L 1600MHz ECC Unbuffered UDIMM RAM | Discount Computer Needs'. Entity 2: 'CRUCIAL - DDR3 8GB 1600Hz CL11 Unbuffered CT102472BD160B'.,Yes,83592973#36133874_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Corsair Value Select 8GB PC4-17000 - 8 GB - 1 x 8 GB - DDR4 - 2133 MHz - 288-pin DIMM'. Entity 2: 'HyperX FURY - DDR3 - 8 GB: 2 x 4 GB - DIMM 240-pin - unbuffered'.,No,48430039#68731207_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Memoire DDR3 So Dimm Crucial 4GB DDR3 1600 MT/S (PC3-12800)'. Entity 2: 'Fujifilm XF-56mm f1.2 APD'.,No,62293619#63386383_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Sigma 50mm F1.4 DG HSM Canon [ART]'. Entity 2: '0000012890| Sigma 50mm f/1.4 DG HSM Art for Canon'.,Yes,28656579#3889666_original
"Do the two product descriptions refer to the same real-world product? Entity 1: '16TB IronWolf Pro ST16000NE000, 7200 RPM, SATA 6Gb/s, 256MB cache, 3.5-Inch HDD'. Entity 2: 'Canon Multipack PGI-72multi1 (6403B007)'.",No,26425849#10737119_original
"Do the two product descriptions refer to the same real-world product? Entity 1: 'Shimano M05 Pads Disc Brake (Deore) (Resin )'. Entity 2: 'Shimano Shimano M05 Resin Disc Brake Pads and BR - M515, BR - M515LA and Nexave BR - C601 Calipers'.",Yes,4484537#25657556_both_augmented
Do the two product descriptions refer to the same real-world product? Entity 1: 'Hhdro Flask 32 oz Wide Mouth Vlex Cap Bottle in Sunflower'. Entity 2: 'Sunflower 32oz. Wide Mouth _ Bottle'.,Yes,11665937#46741147_both_augmented
"Do the two product descriptions refer to the same real-world product? Entity 1: 'Razer DeathAdder V2 Ergonomic Wired Gaming Mouse (RZ01-03210100-R3M1) (Warranty 2years with Ban Leong)'. Entity 2: 'Maxxis Maxxis Minion DHR II Tire: 29 x 2.40"", Folding, 60tpi, 3C MaxxGrip 2- Ply, Tubeless Ready, Wide Trail, Black'.",No,5964390#22007806_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Tissot Mens T-Sport Seastar 1000 Chronograph Black Dial Stainless Steel Bracelet Watch T120.417.11.051.00'. Entity 2: 'DVR 8 canale Hikvision TurboHD 5MP 4 canale alarma audio DS-7208HUHI-K1 H.265'.,No,17282907#69817830_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Ubiquiti UniFi AP AC Mesh PRO 802.11ac Dual Radio Indoor/Outdoor access point - 1750Mbps 5 pack no PoE'. Entity 2: 'Ubiquiti UniFi Mesh AP OUT AC1750 PACK'.,Yes,86924416#45001854_left_original_right_augmented
Do the two product descriptions refer to the same real-world product? Entity 1: 'Corsair Carbide SPEC-01 Tower Black'. Entity 2: 'Corsair Carbide Spec-01 Red LED Mid-Tower Case'.,Yes,20467137#88727182_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'D-Link Switch 24 Puertos- Red'. Entity 2: 'Switch D-Link - Web smart - switch - 24 porte - gestito dgs-1210-24'.,No,51810284#34259452_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Adata XPG SX6000 _ 1TB M. 2 PCIe GEN3x4 SSD ASX6000LNP - _ - C'. Entity 2: 'XPG SX6000 Lite internal solid state drive 1000 GB PCI Express 3.0 3D TLC NVMe M.2 SSD'.,Yes,65953977#16403660_left_augmented_right_original
"Do the two product descriptions refer to the same real-world product? Entity 1: 'RAM Torque 28mm-38mm Handlebar & Rail Base 1.5\"" Ball'. Entity 2: 'RAM Mount Torque™ 3/4"" - 1"" Diameter Handlebar/Rail Base with 1"" Ball and X-Grip®'.",No,53451198#12109505_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Manfrotto MVH500AH Lightweight Video Head with Flat Base'. Entity 2: 'SanDisk SSD PLUS 120GB Solid State Drive -SDSSDA-120G-G27'.,No,64607522#8174351_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Crucial 500GB MX500 M.2 2880 SATA 6Gb/s SSD'. Entity 2: 'Crucial MX500 M.2 2280 500GB Internal SSD 560MB/s CT500MX500SSD4 | PCByte'.,Yes,1741624#18862066_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Epson T75 51 XL Black High Yield Ink Cartridge C13T755140 / T7551 E P53959'. Entity 2: 'Epson T7551 (Prentar 4000 síður) XL svart blekhylki (100ml) fyrir WorkForce WF - oXXX prentara'.,Yes,2046148#57534412_both_augmented
Do the two product descriptions refer to the same real-world product? Entity 1: '_ Color LaserJet Professional CP5225dn'. Entity 2: 'HP printer Color LaserJet Professional _ (_ # B19 )'.,Yes,17869090#17681625_both_augmented
Do the two product descriptions refer to the same real-world product? Entity 1: 'AAA Replica Audemars Piguet Royal Oak Chronograph Black Dail Watch 26331ST.OO.1220ST.02'. Entity 2: 'Piguet audemars - Audemars Piguet Royal Oak Chronograph 41mm Mens Watch - 26331ST. . OO 1220ST. 02'.,Yes,31558480#30454890_left_original_right_augmented
"Do the two product descriptions refer to the same real-world product? Entity 1: 'RAM Motorcycle Combination Base for Handlebar or Brake/Clutch Reservoir with 1\"" ...'. Entity 2: 'Hikvision MP Outdoor IR DS-2DE5225IW-AE'.",No,54550733#34073206_original
"Do the two product descriptions refer to the same real-world product? Entity 1: 'AMD AM4-3400G RYZEN5 3.7GHz'. Entity 2: 'RAM 2.25\"" Ball with 2 U-Bolts (RAM-D-235U)'.",No,44025931#51919374_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Jabra BIZ 2300 USB MS Mono - headset'. Entity 2: 'Swiss Military Hanowa06-4226.30.003.03 Immersion Uhr'.,No,3736831#6800809_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'BenQ SW2700PT 27in QHD Professional Monitor'. Entity 2: 'B'.,Yes,62842391#32701286_both_augmented
Do the two product descriptions refer to the same real-world product? Entity 1: 'Carto de memria micro SD classe 10 Canvas Select'. Entity 2: 'Kingston Canvas Select (32GB) MicroSD Card Class 10 UHS-1 U1 with Adaptor'.,Yes,70986060#37065951_left_augmented_right_original
"Do the two product descriptions refer to the same real-world product? Entity 1: 'Epson atrament SPro 7880/9880/7800/9800 light black 220ml C13T603700'. Entity 2: 'Epson Tinte T6037 Light Black, 220 ml'.",Yes,19042808#12650660_original
Do the two product descriptions refer to the same real-world product? Entity 1: 'Logitech HD Pro Webcam C920 - webkamera'. Entity 2: 'LOGITECH C922 PRO STREAM FULL HD WEBCAM (960-001090)-WRTY 1YR W/BANLEONG'.,No,25980770#29716234_original
"Do the two product descriptions refer to the same real-world product? Entity 1: 'PHILIPS MONITOR LED IPS 24\"" (23.8) 16:9 FULLHD VGA DVI HDMI 243V7QDSB'. Entity 2: 'Corsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation Fan'.",No,96098511#29553137_original
"Do the two product descriptions refer to the same real-world product? Entity 1: 'Western Digital (WDC) 250GB 2.5\"" SATA SSD Blue 7mm Cased'. Entity 2: '3M - PF19 PRIVACY FILTER BLACK FOR 19,0IN / 48,3 CM / 5:4IN ACCS'.",No,62287971#17629924_original
Do the two product descriptions refer to the same real-world product? Entity 1: '128GB transcend Internal SSD 2. 5 ″ SATA3'. Entity 2: 'TRANSCEND SSD230S 128Gb 3D NAND SATA 3 Aluminium (TS128GSSD230S )'.,Yes,25870078#84514463_both_augmented
"Do the two product descriptions refer to the same real-world product? Entity 1: 'Shimano Shimano M05 Resin Disc Brake Pads and Spring for Deore BR-M515, BR- M515LA and Nexave BR-C601 Calipers'. Entity 2: 'Samsung T7 Blue 2TB Portable SSD USB-C/A Gen2'.",No,25657556#98124674_original
