id_left,brand_left,title_left,description_left,price_left,priceCurrency_left,specTableContent_left,cluster_id_left,id_right,brand_right,title_right,description_right,price_right,priceCurrency_right,specTableContent_right,cluster_id_right,pair_id,label,is_hard_negative
27442156,,Swiss Military Hanowa FLAGSHIP 06-5161.2.04.007 Herrenuhr,,"378,00 лв",BGN,,5860529,71716796,SWISS MILITARY HANOWA,Swiss Military Hanowa Flagship 06-5161.2.04.003,Swiss Military Hanowa Flagship 06-5161.2.04.003,6145.0000,UAH,,2682919,27442156#71716796,0,True
97634734,Corsair,Corsair ML140 PRO RGB LED 140MM PWM Premium Magnetic Levitation Fan - Single Pack,"Product InformationQUIET COOLING IN ANY COLORThe CORSAIR ML140 PRO RGB PWM fan combines unrivaled performance and low noise operation with vibrant RGB lighting controlled in CORSAIR LINK software.FRICTION MEETS REALITYBy utilizing ultra-low friction magnetic levitation bearing technology, ML140 PRO RGB can deliver more airflow and higher static pressure at lower noise levels than traditional bearing fans, backed by a long-life five-year warranty.PUT YOUR BUILD IN THE SPOTLIGHTFour hub-mounted RGB LEDs output a vivid blast of light and color, making it easy to match your system's style.EXPAND OR CREATEAvailable as a single fan, control lighting effects in CORSAIR LINK and add",32.98,GBP,,264505,29553137,,"Corsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation Fan","Corsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation Fan (CO-9050047-WW)If NASA Designed a Computer Case Fan – This Would Be It Corsair ML Series of fans magnetic levitation technology and custom engineered rotors provide unrivaled performance and low noise.Thanks to its innovative design, the ML Series fans delivers both high static pressure and high air flow for a superior fan experience.Warranty Five years Fan Size 140mm x 25mm Flow Type Static Pressure LED Color White PWM Control Yes Airflow 20 - 97 CFM Static Pressure 0.2 - 3.0 mmH20 Sound Level 16 - 37 dBA Speed 400 - 2000",77.96,AUD,,387671,97634734#29553137,0,True
30526558,,Samsung Portable SSD T7 Touch - Black - 2TB,"Solid state drive, krypteret, 2 TB, ekstern (bærbar), USB 3.2 Gen 2 (USB-C stikforbindelse), 256-bit AES, sort",3076.00,DKK,,327893,48035811,,Samsung T7 Touch Portable SSD Drive [1TB](Silver),"Advanced PerformanceUp to 1050MB/s read speed, 1000MB/s Write speed supporting USB3.1 Gen2 (10Gbps)Emotional DesignEmotional LED to show product's status intuitively and a slim and light weighted metal bodySecurityOptional data protection with software, password and fingerprint recognition. AES 256-bit hardware encryptionKey FeaturesUp to 1,000 MB/s Transfer SpeedFingerprint Unlock & encryption software (Optional)Multi-Device compatabilityFull metal body",319,AUD,,1307351,30526558#48035811,0,True
54536046,,APC RBC140 Replacement Battery Cartridge,"APC Replacement Battery Cartridge #140Genuine APC RBC are tested and certified for compatibility to restore UPS performance to the original specifications.Includes : All required connectors , Battery recycling guide , Installation Guide , Reusable packagingReplacement Battery CartridgesFeatures & BenefitsConveniencePrepaid postage to a nearby recycling partner (availability varies by country) - Insures that almost 100% of the old battery is recycled, protecting the environment.Re-usable packaging with clear instructions on how to properly dispose of spent batteries - Convenient, easy and green.Fully assembled for easy hot-swap installation - APC RBCs are safe, reliable and contain a minimum number of connections saving valuable",531.10,GBP,,1144246,40357787,,APC (APCRBC110) REPLACEMENT BATTERY CATRIDGE #110,Genuine APC RBC(TM) are tested and certified for compatibility to restore UPS performance to the original specifications.,176.4,AUD,,1157842,54536046#40357787,0,True
562267,,"3M - Lightweight 300 Privacy Filter PF322WSkjermfilter mot innsyn, m/ramme 20\""-23\""W (30,7 x 48,5)","3M Lightweight 300 Privacy Filter PF322WSkjermfilter mot innsyn, m/ramme 20\""-23\""W (30,7 x 48,5) (98-0440-4913-2) - Type: Skjermbeskyttelse",3266.25,NOK,,196841,32904204,,"3M - Privacy filter framed lightweight 18,1\""\""-20\""\"" widescreen","3M Privacy filter framed lightweight 18, 1\""\""-20\""\"" widescreen (7000059517) - Typ: Skärmskydd",1686.00,SEK,,3303908,562267#32904204,0,True
54500223,,HyperX 8GB (2x4GB) 1600MHz CL10 Fury Blue,,289,PLN,,288081,74756753,,HyperX FURY Blue 4GB (1x4GB) 1600MHz DDR3 Memory,"HyperX brand featuring Intel XMP profile support and ideal huge 4GB DDR3 module, powered by CL10 latency timing, powered by 1.5V and fluid 1600MHz",2.134E1,GBP,,836466,54500223#74756753,0,True
32904204,,"3M - Privacy filter framed lightweight 18,1\""\""-20\""\"" widescreen","3M Privacy filter framed lightweight 18, 1\""\""-20\""\"" widescreen (7000059517) - Typ: Skärmskydd",1686.00,SEK,,3303908,5938532,,"3M - Privacy Filter 23.0\""\"" Framed","3M Privacy Filter 23.0\""\"" Framed (PF230W9F) - Type: Andet tilbehør",2400.00,DKK,,654362,32904204#5938532,0,True
6721540,,Gigabyte Radeon RX 5500 XT OC 4GB GDDR6,,859,PLN,,1857431,88855243,Gigabyte,Gigabyte AMD Radeon RX 5500 XT OC 8GB GDDR6 RDNA PCIe 4.0 Graphics Card,"EXPERIENCE POWERFUL, ACCELERATED GAMING CUSTOMIZED FOR YOU WITH THE RX 5500 XTThe all new RDNA powered Gigabyte Radeon RX 5500 XT OC provides exceptional performance and High-fidelity gaming. Take control with Radeon RX 5500 XT and experience powerful, accelerated gaming that has been customized for you. The 5500 XT power the wold’s most technologically advanced 1080p gaming systems. The WINDFORCE cooling system with alternate spinning fans allow this card to stay cool and excel amongst the rest. Gigabyte RX 5500 XT OC allows you to utilise PCI-Express 4.0 support, with a throughput of 16 GT/s and enables two times the",186.048,GBP,,686147,6721540#88855243,0,True
66437726,,4GB DDR3-1866MHz Kingston HyperX Fury Black,,564.00,CZK,,1877306,8315719,Kingston,Kingston 4GB DDR3 1600MHz HyperX Fury Black Series,"DDR3, 4GB, 1600MHz, CL10",8675.37,HUF,,1824443,66437726#8315719,0,True
56603137,,Asus ROG STRIX B550-E GAMING AM4 ATX Motherboard,"ASUS ROG STRIX B550-E GAMING AM4 ATX Motherboard - Memory Support: 4x DIMM DDR4 Slots (128GB, 4400 MHz O.C) - Expansion Slots: 2x PCIe 4.0 x16 (x16 or dual x8), 1x PCIe 3.0 x16 (x4 Mode) & 2x PCIe 3.0 x1 - Storage Support: 2x M.2 Slot & 6x SATA 6Gb/s Connectors - Network: Intel® Wi-Fi 6 AX200, Bluetooth 5.1 & Intel® I225-V 2.5Gb Ethernet - ROG SupremeFX 7.1-Channel High Definition Audio CODEC S1220A - Rear USB Ports: 3x USB 3.2 Gen 2 (1x USB-C), 4x USB 2.0 & 1x USB 2.0",409.00,AUD,,135735,77926243,,"ASUS AMD ATX ROG STRIX B550 F Gaming Motherboard AM4 Dual DDR4, HDMI, Dual M.2","Mpn: 90MB14S0-M0UAY0Vendor:AsusASUS AMD ATX ROG STRIX B550 F Gaming Motherboard AM4 Dual DDR4, HDMI, Dual M.2ROG Strix B550 Gaming series motherboards offer a feature-set usually found in the higher-end ROG Strix X570 Gaming series, including the latest PCIeÂ® 4.0. With robust power delivery and effective cooling, ROG Strix B550 Gaming is well-equipped to handle 3rd Gen AMD Ryzenâ„¢ CPUs. Boasting futuristic aesthetics and intuitive ROG software, ROG Strix B550-F Gaming gives you a head start on your dream build.",270.00,AUD,,516888,56603137#77926243,0,True
24052138,,HK DVR TURBOHD 8ch DS-7208HQHI-K2/P,"DVR Hikvision TurboHD 8 canale DS-7208HQHI-K2/P; 3MP; PoC - Power over coax; 8 Turbo HD/AHD/Analog interface input, 8-ch video and 1-ch audio input, H.265/H.265+ compression, 2 SATA interfaces, CH01 and 02: 3MP @ 15fps, CH03-08:1920-1080P @15 fps/ch, support CVBS output, 380 1U case, built-in PoC.",651.22,RON,,28399,3762458,,DS-7216HQHI-K1 Hikvision 16 cs. TurboHD DVR,,,,,4045323,24052138#3762458,0,True
84875057,Corsair,8GB Corsair ValueSelect DDR4-2133 DIMM CL15 Single,,33.99,,,2861749,50944416,,Corsair Vengeance LPX CMK8GX4M1A2666C16 8GB (1x8GB) 2666Mhz DDR4,"Corsair Vengeance LPX 8GB (1x8GB), PC4-21300 (2666MHz) DDR4, 16-18-18-35, 1.2v, Single Stick",59.00,AUD,,155934,84875057#50944416,0,True
26425849,,"16TB IronWolf Pro ST16000NE000, 7200 RPM, SATA 6Gb/s, 256MB cache, 3.5-Inch HDD","16TB IronWolf Pro ST16000NE000, 7200 RPM, SATA 6Gb/s, 256MB cache, 3.5-Inch HDD",555.21,USD,,40783,36425270,,"HD 3,5 4TB 7200RPM IRONWOLF PRO 128 MB SATA3 SEAGATE",,153.99,EUR,,1102119,26425849#36425270,0,True
29167528,,Canon PFI107C Cyan Laser Toner Cartridge Remanufactured,"Crazy Inkjets is a leading supplier of high quality printing supplies for your Canon PFI-107C printer cartridge. CrazyInkjets products are guaranteed to meet or exceed the quality, reliability and yield standards of the original equipment remanufacturer. The units are tested to ensure compliance with original specifications and performance criteria and offer a sound and economical alternative to the expensive brand-name products.",59.95,USD,,1292504,98859135,Znaka: Originlne,Originlny toner CANON CRG-707 C (Azrov),Originlny spotrebn materil pre tlaiarne CANON,77.9,EUR,,1813263,29167528#98859135,0,True
17465629,,Pokemon TCG:Sword and Shield Rebel Clash Three Booster Blister- Dural,"Pokemon TCG:Sword and Shield Rebel Clash Three Booster Blister- Duraludon Rock out with new Pokémon! Crank it loud and blast the beat—you’ll find rebellion, chaos, and punk attitude galore in the Pokémon TCG:Sword & Shield—Rebel Clash expansion, loaded with Pokémon V including Toxtricity V, Dubwool V, Boltund V,",20.0,AUD,,3227349,4486003,Nintendo,PKM - Pokémon - Sword & Shield - Rebel Clash Booster,Pokémon TCG: Sword & Shield—Rebel Clash booster,4.5,EUR,,2490160,17465629#4486003,0,True
