id_left,brand_left,title_left,description_left,price_left,priceCurrency_left,specTableContent_left,cluster_id_left,id_right,brand_right,title_right,description_right,price_right,priceCurrency_right,specTableContent_right,cluster_id_right,pair_id,label,is_hard_negative
67017951,,Ubiquiti UniFi Protect Video Security,Ubiquiti's UniFi Protect offers all the flexibility one would need for their home security needs. Here's our full review.,,,,1649038,5303451,,Ubiquiti UniFi Video G3 Infrared Range Extender,The IR Range Extender is a 'Plug and Play' accessory designed to enhance and extend the night vision capabilities of the UVC-G3 camera.UVC-G3-LED Specification:-Enhances Night Vision RecordingsExtends IR Range up to 25m (82ft)Six High-Intensity Infrared LEDsPowered and Controlled by the UVC-G3...,70.80,GBP,,711907,67017951#5303451,0,True
41364196,,Kšiltovka New Era Clean Trucker Chicago Bulls,,658,CZK,,46857262,29165749,,Kšiltovka New Era New York Yankees MLB 9Fifty,,810,CZK,,76491423,41364196#29165749,0,True
49744056,,DYMO D1 - Glossy tape - black on white - Roll (1.9cm x 7m) - 1 roll(s),Dymo 2000/5500 Tape 19mmx7m Black/White 45803.,13.49,GBP,,103304,66087579,DYMO,"DYMO 45017 D1 Tape 12mm x 7m sort p rd, S0720570",Originalt DYMO 45017 D1-tape SORT/RD Passer til: DYMO Labelpoint 120P / 150 / 200 / 210D / 250 / 300 / 350 DYMO Labelmanager 150 / 160 / 200 / 210D / 220P / 260P / 280 / 300 / 350 / 360D / 400 / 420P / 450 / 450D DYMO Labelmanager PC / PCII / PNP DYMO Labelmanager Mobile DYMO Labelwriter 400 Duo / 450 Duo Bredde 12mm Lngde 7meter.,139.00,DKK,,48435,49744056#66087579,0,True
63587638,Samsung,SAMSUNG T7 Touch Black 2TB Portable SSD with Fingerprint ID,"2TB Samsung T7 Touch MU-PC2T0K/WW, Portable External SSD, Fingerprint ID, USB 3.2 Gen2/Type-C,Bus Powered, Black",365.99,GBP,,327893,52588862,,T7 Portable SSD - 2TB Indigo Blue,"Light and pocket-sized, the Portable SSD T7 both delivers fast speeds and safeguards data for an easy way to store and transfer large files. Experience everyday high performance in your work and play with the T7.",639.99,NZD,,1252792,63587638#52588862,0,True
25138178,,Kingston Canvas 128GB Micro SDXC C10 U1 V10 A1,,39.95,USD,,27477,45664586,,Transcend SSD230S 128GB best price,"Transcend 128GB 2.5\"" SSD230S SATA3 3D NAND Flash TLC, read-write: up to 560MBs, 520MBs, Aluminum case Price: 22.08. Best price from OmniChannel. Convenient payment by bank transfer or delivery",2.208E1,eur,,715391,25138178#45664586,0,True
56902092,Jabra,Jabra BIZ 2400 II DQ Duo NC WB Corded Headset,,209,USD,,472648,5578260,,Jabra Biz 2300 USB Duo Headset,"The Jabra Biz 2300 USB Duo is a dual ear noise cancelling headset designed for Unified Communication (UC) and Skype for Business (SFB) environments.Audio features include a Noise Cancelling Microphone to reduce background noise, wideband audio technology and DSP technology for better clarity.The Jabra Biz 2300 series is built to last, with a reinforced Kevlar cord and unbreakable boom arm the 2300 series can withstand any punishment a high performing contact centre can give.",108.00,EUR,,666306,56902092#5578260,0,True
28769706,,AirPods 2 with Wireless Charging Case,"Summary:- Designed by Apple- Automatically on, automatically connected- Easy setup for all your Apple devices6- Quick access to Siri by saying “Hey Siri” or setting up double-tap- Double-tap to play or skip forward- Charges quickly in the case- Case can be charged with a Lightning connector- Rich, high-quality audio and voice- Seamless switching between devicesMore magical than ever.The new AirPods deliver the wireless headphone experience, reimagined. Just pull them out of the charging case and they’re ready to use with your iPhone, Apple Watch, iPad, or Mac.After a simple one-tap setup, AirPods work like magic. They’re automatically on and always",190.90,EUR,,1126552,78600248,,PENDRIVE 128GB USB3.0 TIPO C KINGSTON DT MICRO DUO,PENDRIVE 128GB USB3.0 TIPO C KINGSTON DT MICRO DUO Lectura 100Mbs / Escritura 15Mbs / USB(A)-USB(C) DTDUO3C/128GB,30.18,EUR,,1085000,28769706#78600248,0,True
28403450,,EPSON - Ink Cart/XL Yellow WF-8xxx,EPSON Ink Cart/XL Yellow WF-8xxx (C13T755440) - Produkt: Blekk,901.25,NOK,,2806654,47959304,,Epson C13T865140 WF-51xx/56xx Cartridge XXL Mono,,549,PLN,,193507,28403450#47959304,0,True
62062623,APC,APC SMART-UPS 1000VA 2U Uninterruptable Power Supply,"1000VA APC SMT1000RMI2UC UPS, 2U, LCD Screen, Battery Active/Low Alarm, 3 Hour Recharge Time",647.99,GBP,,91557,16111692,APC by Schneider Electric,APC Smart-UPS 1000VA LCD 230V SMT1000I - SMT1000I,"APC Smart-UPS 1000VA LCD 230V SMT1000I - SMT1000I - Single Phase - ﻿SMT1000I Features APC Smart-UPS 1000VA LCD 230VIntelligent and efficient network power protection from entry level to scaleable runtime. Ideal UPS for servers, point-of-sale, routers, swi",7150,EGP,,2132160,62062623#16111692,0,True
45366053,,GARMIN FENIX 5S Sapphire - Black with Black Band,"GARMIN FENIX 5S Sapphire - Black with Black Band Striking Design, Strong Performance...Athletes and adventurers come in all sizes. That's why the fenix 5 series offers multiple models that vary in size to fit every wrist and every workout. Each version offers a variety of stainless steel finishes, QuickFit watch band combinations and premium feature sets to give you the look, performance and lightweight comfort to match both your aesthetic and athletic interests. KEY FEATURES HR at the Wrist - Elevate wrist-based heart rate technology for HR without the chest strap. Chroma Display - bright, high-resolution, full-colour with LED backlighting.",949,AUD,,1406172,34146981,,Garmin fenix 5S Plus - Silver with black band,,4.5E2,EUR,,23040,45366053#34146981,0,True
31517280,Kingston,Kingston 4GB DDR3 1866MHz HyperX Fury Black Series,"DDR3, 4GB, 1866MHz, CL10",8829.04,HUF,,1877306,43227294,,"GeForce® RTX 2080 SUPER™ OC, DUAL-RTX2080S-O8G-EVO, 1650 - 1860MHz, 8GB GDDR6, Graphics Card",The ASUS Dual GeForce® RTX 2080 SUPER™ EVO OC edition 8GB GDDR6 with two powerful Axial-tech fans for high refresh rate AAA gaming and VR,805.51,USD,,3154731,31517280#43227294,0,True
25445188,Kingston,Kingston Canvas Select Plus 128GB Micro SD UHS-I (U1) Flash Card with Adapter,,35.99,EUR,,27477,14737778,,"RAM Double U-Bolt Base with 2.25\"" Ball","The RAM-D-235U by RAM Mounts consists of a stainless steel double u-bolt base connected to a 2.25\"" diameter ball. The double u-bolt base will accommdate rails from 0.75\"" to 1.25\"" in diameter.Material: Powder Coated Marine Grade AluminumBall Size: 2.25\"" Rubber Ball \""D\"" Size",$64.05,AUD,,1571647,25445188#14737778,0,True
