prompt,completion
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'HDD 35 4TB Seagate IronWolf Pro NAS ST4000NE001'. Entity 2: 'HD 3,5 4TB 7200RPM IRONWOLF PRO 128 MB SATA3 SEAGATE'.","Yes.

attribute=brand|||importance=0.05|||values=Seagate###Seagate|||similarity=1.00
attribute=model|||importance=0.95|||values=IronWolf Pro###IronWolf Pro|||similarity=1.00
attribute=storage capacity|||importance=0.9|||values=4TB###4TB|||similarity=1.00
attribute=form factor|||importance=0.5|||values=3.5###3.5|||similarity=1.00
attribute=RPM|||importance=0.3|||values=missing###7200RPM|||similarity=0.00
attribute=cache|||importance=0.2|||values=missing###128 MB|||similarity=0.00
attribute=interface|||importance=0.4|||values=SATA###SATA3|||similarity=1.00"
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Buy Quality Replica Omega Seamaster Planet Ocean 600M Steel Chronometer Chronograph Watch 215.30.46.51.01.001'. Entity 2: 'GIGABYTE Radeon RX 5500 XT OC - 4GB GDDR6 RAM - Grafikkort'.,"No.
attribute=product type|||importance=1.00|||values=Watch###Grafikkort|||similarity=0.00
attribute=brand|||importance=0.50|||values=Omega###GIGABYTE|||similarity=0.00
attribute=model|||importance=0.50|||values=Seamaster Planet Ocean 600M###Radeon RX 5500 XT OC|||similarity=0.00
attribute=RAM|||importance=0.30|||values=missing###4GB GDDR6|||similarity=0.00
attribute=chronometer|||importance=0.30|||values=Yes###missing|||similarity=0.00"
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Ubiquiti UVC-G3-FLEX-3 UniFi Protect G3 FLEX Camera 3-Pack'. Entity 2: 'AAA Replica Omega Seamaster Planet Ocean 600M Chronograph Stainless Steel Blue Watch 215.30.46.51.03.001'.,"No.
attribute=brand|||importance=0.05|||values=Ubiquiti###missing|||similarity=0.00
attribute=model|||importance=0.95|||values=UVC-G3-FLEX-3###215.30.46.51.03.001|||similarity=0.00
attribute=product type|||importance=0.90|||values=Camera###Watch|||similarity=0.00
attribute=pack size|||importance=0.10|||values=3-Pack###missing|||similarity=0.00
attribute=material|||importance=0.05|||values=missing###Stainless Steel|||similarity=0.00
attribute=color|||importance=0.05|||values=missing###Blue|||similarity=0.00"
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Brother HL-L6300DW Business Laser Printer for Mid-Size Workgroups -HL-L6300DW'. Entity 2: 'Epson T6923 Ultrachrome XD rautt Ink 110ml'.,"No.
attribute=brand|||importance=0.50|||values=Brother###Epson|||similarity=0.00
attribute=model|||importance=0.40|||values=HL-L6300DW###T6923|||similarity=0.00
attribute=product type|||importance=0.80|||values=Business Laser Printer###Ultrachrome XD Ink|||similarity=0.00
attribute=target audience|||importance=0.30|||values=Mid-Size Workgroups###missing|||similarity=0.00
attribute=ink capacity|||importance=0.20|||values=missing###110ml|||similarity=0.00"
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'KINGSTON 64GB USB 3.0 DataTraveler SE9 G2 (Kovový) DTSE9G2/64GB'. Entity 2: 'Buy Quality Replica Tag Heuer Monaco Steve McQueen Chronograph Watch CAW211P.FC6356'.,"No.
attribute=product type|||importance=1.00|||values=USB Drive###Watch|||similarity=0.00
attribute=brand|||importance=0.50|||values=KINGSTON###Tag Heuer|||similarity=0.00
attribute=model|||importance=0.50|||values=DTSE9G2/64GB###CAW211P.FC6356|||similarity=0.00
attribute=storage capacity|||importance=0.30|||values=64GB###missing|||similarity=0.00
attribute=material|||importance=0.20|||values=Kovový###missing|||similarity=0.00"
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Swiss Military Hanowa FLAGSHIP 06-5161.2.04.007 Herrenuhr'. Entity 2: 'Swiss Military Hanowa Flagship 06-5161.2.04.003'.,"No. 
attribute=brand|||importance=0.05|||values=Swiss Military Hanowa###Swiss Military Hanowa|||similarity=1.00
attribute=model|||importance=0.95|||values=FLAGSHIP 06-5161.2.04.007###Flagship 06-5161.2.04.003|||similarity=0.90
attribute=type|||importance=0.05|||values=Herrenuhr###missing|||similarity=0.00"
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Sony SEL24240 FE 24-240mm f/3.5-6.3 OSS Zoom Lens for Mirrorless Cameras'. Entity 2: 'WD My Passport - 1 TB'.,"No.
attribute=brand|||importance=0.05|||values=Sony###WD|||similarity=0.00
attribute=model|||importance=0.95|||values=SEL24240 FE 24-240mm f/3.5-6.3 OSS Zoom Lens###My Passport|||similarity=0.00
attribute=product type|||importance=0.9|||values=Zoom Lens for Mirrorless Cameras###External Hard Drive|||similarity=0.00
attribute=storage capacity|||importance=0.1|||values=missing###1TB|||similarity=0.00"
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Catalyst 2960-X 24 GigE PoE 370W, 2 x 10G SFP+, LAN Base'. Entity 2: '8GB Corsair ValueSelect DDR4-2133 DIMM CL15 Single'.","No.
attribute=product type|||importance=1.00|||values=Network Switch###Memory Module|||similarity=0.00
attribute=brand|||importance=0.05|||values=missing###Corsair|||similarity=0.00
attribute=model|||importance=0.95|||values=Catalyst 2960-X###ValueSelect|||similarity=0.00
attribute=specifications|||importance=0.90|||values=24 GigE PoE 370W, 2 x 10G SFP+, LAN Base###8GB DDR4-2133 DIMM CL15|||similarity=0.00"
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Corsair ML140 PRO RGB LED 140MM PWM Premium Magnetic Levitation Fan - Single Pack'. Entity 2: 'Corsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation Fan'.","No.
attribute=brand|||importance=0.05|||values=Corsair###Corsair|||similarity=1.00
attribute=model|||importance=0.95|||values=ML140 PRO RGB LED###ML140 Pro LED, Red|||similarity=0.60
attribute=size|||importance=0.05|||values=140MM###140mm|||similarity=1.00
attribute=packaging|||importance=0.05|||values=Single Pack###missing|||similarity=0.00
attribute=color|||importance=0.90|||values=RGB###Red|||similarity=0.20"
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Samsung Portable SSD T7 Touch - Black - 2TB'. Entity 2: 'Samsung T7 Touch Portable SSD Drive [1TB](Silver)'.,"No.
attribute=brand|||importance=0.05|||values=Samsung###Samsung|||similarity=1.00
attribute=model|||importance=0.95|||values=Portable SSD T7 Touch###T7 Touch Portable SSD Drive|||similarity=0.90
attribute=storage capacity|||importance=0.9|||values=2TB###1TB|||similarity=0.25
attribute=color|||importance=0.1|||values=Black###Silver|||similarity=0.00"
