prompt,completion
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'HDD 35 4TB Seagate IronWolf Pro NAS ST4000NE001'. Entity 2: 'HD 3,5 4TB 7200RPM IRONWOLF PRO 128 MB SATA3 SEAGATE'.","No.
attribute=brand|||importance=0.05|||values=Seagate###Seagate|||similarity=1.00
attribute=model|||importance=0.95|||values=ST4000NE001###ST4000NE001|||similarity=1.00
attribute=storage capacity|||importance=0.9|||values=4TB###4TB|||similarity=1.00
attribute=interface|||importance=0.05|||values=SATA3###SATA3|||similarity=1.00
attribute=product line|||importance=0.8|||values=IronWolf Pro###IronWolf Pro|||similarity=1.00
attribute=storage type|||importance=0.7|||values=HDD###HD|||similarity=0.80"
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Buy Quality Replica Omega Seamaster Planet Ocean 600M Steel Chronometer Chronograph Watch 215.30.46.51.01.001'. Entity 2: 'GIGABYTE Radeon RX 5500 XT OC - 4GB GDDR6 RAM - Grafikkort'.,"No.
attribute=brand|||importance=0.05|||values=Omega###GIGABYTE|||similarity=0.00
attribute=model|||importance=0.95|||values=Seamaster Planet Ocean 600M Steel Chronometer Chronograph Watch 215.30.46.51.01.001###Radeon RX 5500 XT OC|||similarity=0.00
attribute=type|||importance=1.00|||values=Watch###Grafikkort|||similarity=0.00
attribute=RAM|||importance=0.05|||values=missing###4GB GDDR6|||similarity=0.00
attribute=storage capacity|||importance=0.00|||values=missing###4GB|||similarity=0.00"
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Ubiquiti UVC-G3-FLEX-3 UniFi Protect G3 FLEX Camera 3-Pack'. Entity 2: 'AAA Replica Omega Seamaster Planet Ocean 600M Chronograph Stainless Steel Blue Watch 215.30.46.51.03.001'.,"No.
attribute=brand|||importance=0.05|||values=missing###Omega|||similarity=0.00
attribute=model|||importance=-0.95|||values=UniFi Protect G3 FLEX Camera 3-Pack###Seamaster Planet Ocean 600M Chronograph|||similarity=0.00
attribute=material|||importance=0.05|||values=missing###Stainless Steel|||similarity=0.00
attribute=color|||importance=0.05|||values=missing###Blue|||similarity=0.00
attribute=reference number|||importance=0.05|||values=missing###215.30.46.51.03.001|||similarity=0.00"
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Brother HL-L6300DW Business Laser Printer for Mid-Size Workgroups -HL-L6300DW'. Entity 2: 'Epson T6923 Ultrachrome XD rautt Ink 110ml'.,"No.
attribute=brand|||importance=0.05|||values=missing###Epson|||similarity=0.00
attribute=model|||importance=0.95|||values=HL-L6300DW###T6923|||similarity=0.00
attribute=product type|||importance=0.9|||values=Laser Printer###Ink|||similarity=0.00
attribute=color|||importance=0.1|||values=missing###Ultrachrome XD rautt|||similarity=0.00
attribute=capacity|||importance=0.05|||values=missing###110ml|||similarity=0.00"
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'KINGSTON 64GB USB 3.0 DataTraveler SE9 G2 (Kovový) DTSE9G2/64GB'. Entity 2: 'Buy Quality Replica Tag Heuer Monaco Steve McQueen Chronograph Watch CAW211P.FC6356'.,"No.
attribute=brand|||importance=0.05|||values=missing###Tag Heuer|||similarity=0.00
attribute=model|||importance=0.95|||values=DataTraveler SE9 G2###Monaco Steve McQueen Chronograph CAW211P.FC6356|||similarity=0.00
attribute=storage capacity|||importance=0.9|||values=64GB###missing|||similarity=0.00
attribute=material|||importance=0.05|||values=Kovový###missing|||similarity=0.00
attribute=watch type|||importance=0.95|||values=missing###Chronograph|||similarity=0.00
attribute=color|||importance=0.1|||values=missing###missing|||similarity=0.00
attribute=brand|||importance=0.05|||values=Kingston###Tag Heuer|||similarity=0.00"
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Swiss Military Hanowa FLAGSHIP 06-5161.2.04.007 Herrenuhr'. Entity 2: 'Swiss Military Hanowa Flagship 06-5161.2.04.003'.,"No.
attribute=storage capacity|||importance=0.9|||values=4TB###1TB|||similarity=0.25
attribute=USB version|||importance=0.05|||values=missing###USB 3.0|||similarity=0.00"
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Sony SEL24240 FE 24-240mm f/3.5-6.3 OSS Zoom Lens for Mirrorless Cameras'. Entity 2: 'WD My Passport - 1 TB'.,"No.
attribute=brand|||importance=0.05|||values=Sony###WD|||similarity=0.00
attribute=model|||importance=0.95|||values=SEL24240 FE 24-240mm f/3.5-6.3 OSS Zoom Lens###My Passport|||similarity=0.00
attribute=storage capacity|||importance=0.9|||values=missing###1 TB|||similarity=0.00
attribute=type|||importance=0.9|||values=Lens###External Hard Drive|||similarity=0.00
attribute=color|||importance=0.1|||values=missing###Black|||similarity=0.00"
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Catalyst 2960-X 24 GigE PoE 370W, 2 x 10G SFP+, LAN Base'. Entity 2: '8GB Corsair ValueSelect DDR4-2133 DIMM CL15 Single'.","No.
attribute=product type|||importance=1.00|||values=External Hard Drive###RAM|||similarity=0.00
attribute=brand|||importance=0.05|||values=Western Digital###Corsair|||similarity=0.00
attribute=model|||importance=0.95|||values=My Passport###ValueSelect|||similarity=0.00
attribute=storage capacity|||importance=0.9|||values=4TB###8GB|||similarity=0.00
attribute=color|||importance=0.1|||values=Black###missing|||similarity=0.00
attribute=USB version|||importance=0.05|||values=USB 3.0###missing|||similarity=0.00"
"Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Corsair ML140 PRO RGB LED 140MM PWM Premium Magnetic Levitation Fan - Single Pack'. Entity 2: 'Corsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation Fan'.","No.
attribute=brand|||importance=0.05|||values=Corsair###Corsair|||similarity=1.00
attribute=model|||importance=0.95|||values=ML140 PRO RGB LED###ML140 Pro|||similarity=0.80
attribute=color|||importance=0.1|||values=missing###Red|||similarity=0.00
attribute=pack size|||importance=0.05|||values=Single Pack###missing|||similarity=0.00
attribute=LED color|||importance=0.05|||values=RGB LED###missing|||similarity=0.00"
Do the two entity descriptions refer to the same real-world entity? Entity 1: 'Samsung Portable SSD T7 Touch - Black - 2TB'. Entity 2: 'Samsung T7 Touch Portable SSD Drive [1TB](Silver)'.,"No.
attribute=brand|||importance=0.05|||values=missing###Dysk|||similarity=0.00
attribute=model|||importance=0.95|||values=WD 4TB Black My Passport###WD My Passport 1TB|||similarity=0.20
attribute=storage capacity|||importance=0.9|||values=4TB###1TB|||similarity=0.25
attribute=color|||importance=0.1|||values=Black###Black|||similarity=1.00
attribute=USB version|||importance=0.05|||values=USB 3.0###USB 3.0|||similarity=1.00
attribute=product type|||importance=0.05|||values=Portable External Hard Drive###Portable SSD Drive|||similarity=0.00"
